Busa, Federica
Busby, George
Buscaldi, Davide
Buschbeck-Wolf, Bianka
Busemann, Stephan
Bush, Caroline
Bush, Marcia A.
Busser, Bertjan
Butnariu, Cristina
Butt, Miriam
Butt, Tahir
Buttelmann, H. Willam
Buttery, Paula
Butzberger, John
Buyko, Ekaterina
By, Tomas
Byrd, Roy J.
Byrne, Rod
ERROR
Byrnes, John
Byron, Donna K.
Cabezas, Clara
Cabrero, David
Caelen, Jean
Cafarella, Michael J.
Cafferkey, Conor
Cahill, Aoife
Cahill, Lynne J.
Cahn, Janet
Cai, Dongfeng
ERROR
Cai, Junfu
Cai, Keke
Cai, Lianhong
Cai, Qingsheng
Cai, Zhiqiang
Caid, William R.
Cakici, Ruken
Calcagno, Mike
Calder, Jonathan
Calderone, Basilio
Caldwell, David E.
Caldwell, Ted
Calera-Rubio, Jorge
Calhoun, Sasha
Califf, Mary Elaine
Caligaris, C.
Callaghan, Paul
ERROR
ERROR
Callaway, Charles B.
Callison-Burch, Chris
ERROR
Calzolari, Nicoletta
Caminero, Javier
Cammisa, Marco
Campana, Ellen
Campanile, Enrico
Campbell, Alistair E.
Campbell, David
Campbell, Lyle
Campbell, Richard
Campbell, W. N.
Campia, Paolo
Cancedda, Nicola
ERROR
Canisius, Sander
Cannesson, Emmanuelle
Cano, Antonio
Canon, Stephen
Cant, James
Cantwell Smith, Brian
Canzhong, Wu
Cao, Guihong
Cao, Yunbo
Cappelli, Amedeo
Caraballo, Sharon A.
Carayannis, George
Carberry, Sandra
Carbone, Marco
ERROR
Carbonetto, Peter
Carbonnell, Jaime G.
Carcagno, D.
Cardey, Sylviane
Cardie, Claire
Cardillo, Peter S.
Cardinal, Patrick
Carenini, Giuseppe
Carey, John
Carey, Regan
Carl, Michael
Carlberger, Alice
Carlberger, Johan
Carleton, Joel
Carletta, Jean
Carlson, Adam
Carlson, Greg
Carlson, Lauri
Carlson, Lynn
Carlson, Rolf
Carmen, Marc
Carmona, Josep
ERROR
Carpenter, Bob
Carpenter, Patricia
Carpuat, Marine
Carr, Nathan
Carrasco, Rafael C.
Carre, Rene
Carreras, Xavier
Carrington, L
